AMC,AMFICode,Scheme Name,Scheme Type,AMFI Scheme Category,Scheme NAV Name,Scheme Category,Sub Category,Fundtype,PlanType,ISIN Div Payout / ISIN Growth,ISIN Div Reinvestment,Launch Date,Closure Date,Scheme Minimum Amount,isPrimary
Kotak Mahindra Asset Management Company Limited.,151780,Kotak Nifty 200 Momentum 30 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty 200 Momentum 30 Index Fund - Regular Plan - IDCW Payout,Other,Index Funds,DE,Regular,INF174KA1NZ2,INF174KA1OA3,25-May-2023,,5000.0,Y
Kotak Mahindra Asset Management Company Limited.,151781,Kotak Nifty 200 Momentum 30 Index Fund,Open Ended,Other Scheme - Index Funds,Kotak Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth Option,Other,Index Funds,DE,Direct,INF174KA1OB1,,25-May-2023,,5000.0,Y
Axis Asset Management Co. Ltd.,151784,Axis Nifty IT Index Fund,Open Ended,Other Scheme - Index Funds,Axis Nifty IT Index Fund - Regular Plan - IDCW,Other,Index Funds,DE,Regular,INF846K011S4,INF846K012S2,27-Jun-2023,11-Jul-2023,5000.0,Y
Axis Asset Management Co. Ltd.,151785,Axis Nifty IT Index Fund,Open Ended,Other Scheme - Index Funds,Axis Nifty IT Index Fund - Direct Plan - Growth,Other,Index Funds,DE,Direct,INF846K017R3,,27-Jun-2023,11-Jul-2023,5000.0,Y
Axis Asset Management Co. Ltd.,151786,Axis Nifty IT Index Fund,Open Ended,Other Scheme - Index Funds,Axis Nifty IT Index Fund - Direct Plan - IDCW,Other,Index Funds,DE,Direct,INF846K018R1,INF846K019R9,27-Jun-2023,11-Jul-2023,5000.0,N
Axis Asset Management Co. Ltd.,151787,Axis Nifty IT Index Fund,Open Ended,Other Scheme - Index Funds,Axis Nifty IT Index Fund - Regular Plan - Growth,Other,Index Funds,DE,Regular,INF846K010S6,,27-Jun-2023,11-Jul-2023,5000.0,Y
quant Money Managers Limited,151788,quant BFSI Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant BFSI Fund - Growth Option - Regular Plan,Equity,Sectoral/ Thematic,DE,Regular,INF966L01CA6,,01-Jun-2023,,5000.0,Y
quant Money Managers Limited,151789,quant BFSI Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant BFSI Fund - IDCW Option - Regular Plan,Equity,Sectoral/ Thematic,DE,Regular,INF966L01CB4,INF966L01CC2,01-Jun-2023,,5000.0,Y
quant Money Managers Limited,151790,quant BFSI Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant BFSI Fund - IDCW Option - Direct Plan,Equity,Sectoral/ Thematic,DE,Direct,INF966L01BY8,INF966L01BZ5,01-Jun-2023,,5000.0,N
quant Money Managers Limited,151791,quant BFSI Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,quant BFSI Fund - Growth Option - Direct Plan,Equity,Sectoral/ Thematic,DE,Direct,INF966L01BX0,,01-Jun-2023,,5000.0,Y
Edelweiss Asset Management Limited,151792,Edelweiss Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Edelweiss Multi Asset Allocation Fund - Direct Plan - Growth,Hybrid,Multi Asset Allocation,DE,Direct,INF754K01RS8,,05-Jun-2023,19-Jun-2023,5000.0,Y
Edelweiss Asset Management Limited,151793,Edelweiss Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Edelweiss Multi Asset Allocation Fund - Direct Plan - IDCW Option,Hybrid,Multi Asset Allocation,DE,Direct,INF754K01RT6,INF754K01RU4,05-Jun-2023,19-Jun-2023,5000.0,N
Edelweiss Asset Management Limited,151794,Edelweiss Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Edelweiss Multi Asset Allocation Fund - Regular Plan - IDCW Option,Hybrid,Multi Asset Allocation,DE,Regular,INF754K01RP4,INF754K01RQ2,05-Jun-2023,19-Jun-2023,5000.0,Y
Edelweiss Asset Management Limited,151795,Edelweiss Multi Asset Allocation Fund,Open Ended,Hybrid Scheme - Multi Asset Allocation,Edelweiss Multi Asset Allocation Fund - Regular Plan - Growth,Hybrid,Multi Asset Allocation,DE,Regular,INF754K01RO7,,05-Jun-2023,19-Jun-2023,5000.0,Y
360 ONE Asset Management Limited (Formerly known as IIFL Asset Management Limited),151796,360 ONE Flexicap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,Equity,Flexi Cap Fund,DE,Direct,INF579M01AS1,,12-Jun-2023,,1000.0,Y
360 ONE Asset Management Limited (Formerly known as IIFL Asset Management Limited),151797,360 ONE Flexicap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,Equity,Flexi Cap Fund,DE,Regular,INF579M01AQ5,INF579M01AR3,12-Jun-2023,,1000.0,Y
360 ONE Asset Management Limited (Formerly known as IIFL Asset Management Limited),151798,360 ONE Flexicap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,Equity,Flexi Cap Fund,DE,Direct,INF579M01AT9,INF579M01AU7,12-Jun-2023,,1000.0,N
360 ONE Asset Management Limited (Formerly known as IIFL Asset Management Limited),151799,360 ONE Flexicap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,Equity,Flexi Cap Fund,DE,Regular,INF579M01AP7,,12-Jun-2023,,1000.0,Y
HDFC Asset Management Company Limited,151802,HDFC Non-Cyclical Consumer Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Non-Cyclical Consumer Fund - IDCW Option,Equity,Sectoral/ Thematic,DE,Regular,INF179KC1GS4,INF179KC1GT2,23-Jun-2023,07-Jul-2023,100.0,N
HDFC Asset Management Company Limited,151803,HDFC Non-Cyclical Consumer Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,HDFC Non-Cyclical Consumer Fund - Growth Option,Equity,Sectoral/ Thematic,DE,Regular,INF179KC1GR6,,23-Jun-2023,07-Jul-2023,100.0,Y
